Category,SVG Icon URL
Ficção,https://cdn-icons-png.flaticon.com/512/1146/1146315.png
Literatura Estrangeira,https://cdn-icons-png.flaticon.com/512/5332/5332986.png
Fantasia,https://cdn-icons-png.flaticon.com/512/867/867884.png
Autoajuda,https://cdn-icons-png.flaticon.com/512/15659/15659775.png
Aventura,https://cdn-icons-png.flaticon.com/512/2373/2373849.png
Infantojuvenil,https://cdn-icons-png.flaticon.com/512/1702/1702342.png
Biografia,https://cdn-icons-png.flaticon.com/512/7757/7757638.png
Romance,https://cdn-icons-png.flaticon.com/512/5540/5540505.png
Drama,https://cdn-icons-png.flaticon.com/512/9104/9104968.png
Jovem adulto,https://cdn-icons-png.flaticon.com/512/10831/10831601.png
Administração,https://cdn-icons-png.flaticon.com/512/1465/1465400.png
Contos,https://cdn-icons-png.flaticon.com/512/2015/2015171.png
Crime,https://cdn-icons-png.flaticon.com/512/2267/2267694.png
Artes,https://cdn-icons-png.flaticon.com/512/3749/3749704.png
Distopia,https://cdn-icons-png.flaticon.com/512/8710/8710530.png
Não-ficção,https://cdn-icons-png.flaticon.com/512/14835/14835179.png
Ficção científica,https://cdn-icons-png.flaticon.com/512/1146/1146315.png
Humor,https://cdn-icons-png.flaticon.com/512/2766/2766383.png
Romance policial,https://cdn-icons-png.flaticon.com/512/4424/4424545.png
História,https://cdn-icons-png.flaticon.com/512/2234/2234770.png
Suspense e Mistério,https://cdn-icons-png.flaticon.com/512/2115/2115958.png
Infantil,https://cdn-icons-png.flaticon.com/512/1702/1702342.png
Bem estar e lazer,https://cdn-icons-png.flaticon.com/512/18240/18240118.png
Economia,https://cdn-icons-png.flaticon.com/512/3310/3310624.png
HQ,https://cdn-icons-png.flaticon.com/512/3938/3938619.png
Filosofia,https://cdn-icons-png.flaticon.com/512/14963/14963537.png
Psicologia,https://cdn-icons-png.flaticon.com/512/2013/2013120.png
Ensaios,https://cdn-icons-png.flaticon.com/512/2170/2170042.png
Negócios e Empreendedorismo,https://cdn-icons-png.flaticon.com/512/7890/7890493.png
Crônicas,https://cdn-icons-png.flaticon.com/512/18125/18125320.png
Educação,https://cdn-icons-png.flaticon.com/512/3976/3976625.png
História Geral,https://cdn-icons-png.flaticon.com/512/2682/2682065.png
Medicina e Saúde,https://cdn-icons-png.flaticon.com/512/2968/2968946.png
Almanaques,https://cdn-icons-png.flaticon.com/512/14671/14671750.png
Cinema,https://cdn-icons-png.flaticon.com/512/864/864797.png
Biologia,https://cdn-icons-png.flaticon.com/512/1080/1080962.png
Línguas Estrangeiras,https://cdn-icons-png.flaticon.com/512/5332/5332986.png
Entretenimento,https://cdn-icons-png.flaticon.com/512/3163/3163478.png
Fábula,https://cdn-icons-png.flaticon.com/512/16442/16442720.png
Informática e Tecnologia,https://cdn-icons-png.flaticon.com/512/9626/9626716.png
Terror,https://cdn-icons-png.flaticon.com/512/8490/8490316.png
Design,https://cdn-icons-png.flaticon.com/512/922/922699.png
Animais de Estimação,https://cdn-icons-png.flaticon.com/512/1807/1807570.png
Comunicação,https://cdn-icons-png.flaticon.com/512/608/608968.png
Didáticos,https://cdn-icons-png.flaticon.com/512/4696/4696727.png
LGBT,https://cdn-icons-png.flaticon.com/512/4596/4596151.png
Jogos,https://cdn-icons-png.flaticon.com/512/2780/2780137.png
Geografia,https://cdn-icons-png.flaticon.com/512/2387/2387542.png
Matemática,https://cdn-icons-png.flaticon.com/512/1739/1739515.png
Dicionários,https://cdn-icons-png.flaticon.com/512/4033/4033369.png
Esportes,https://cdn-icons-png.flaticon.com/512/3311/3311579.png
Música,https://cdn-icons-png.flaticon.com/512/2907/2907253.png
investigacao,https://cdn-icons-png.flaticon.com/512/3067/3067572.png
Internet,https://cdn-icons-png.flaticon.com/512/1864/1864936.png
Profile,https://cdn-icons-png.flaticon.com/512/456/456283.png
Total_loans,https://cdn-icons-png.flaticon.com/512/3861/3861478.png
Active_loans,https://cdn-icons-png.flaticon.com/512/16445/16445661.png
Overdue_loans,https://cdn-icons-png.flaticon.com/512/6117/6117066.png
